4.0271,0.225,0
3.9773,0.17136,0
4.0026,0.19285,0
4.2808,0.46728,1
4.0134,0.19613,0
3.9967,0.1756,0
4.3578,0.53291,1
4.0169,0.18816,0
4.0116,0.17904,0
4.0163,0.18,0
4.3718,0.53172,1
4.0371,0.1932,0
4.473,0.62526,1
4.0379,0.18635,0
4.0465,0.19121,0
4.0469,0.18773,0
4.4158,0.55282,1
4.0686,0.20186,0
4.0726,0.20206,0
4.0766,0.2023,0
4.0748,0.19667,0
4.0616,0.17962,0
4.5819,0.69612,1
4.0905,0.20096,0
4.0767,0.18336,0
4.0851,0.18796,0
4.1013,0.20032,0
4.0883,0.18355,0
4.6045,0.6959,1
4.1112,0.19887,0
4.112,0.19581,0
4.0996,0.17959,0
4.1218,0.19808,0
4.44,0.51248,1
4.1159,0.18449,0
4.1197,0.18452,0
4.137,0.19802,0
4.1409,0.19817,0
4.5059,0.55937,1
4.147,0.19663,0
4.1402,0.18598,0
4.1523,0.19429,0
4.1733,0.21154,0
4.1578,0.19222,0
4.1802,0.21081,0
4.1684,0.1952,0
4.7229,0.74586,1
4.1773,0.19655,0
4.1751,0.19054,0
4.1833,0.19488,0
4.1968,0.2046,0
4.2061,0.21013,0
4.1945,0.19464,0
4.1939,0.19029,0
4.2297,0.22232,0
4.2088,0.19762,0
4.2089,0.19389,0
4.2216,0.20275,0
4.215,0.19243,0
4.238,0.21161,0
4.2376,0.20734,0
4.253,0.21895,0
4.2344,0.19656,0
4.2374,0.19578,0
4.2601,0.21465,0
4.2597,0.21049,0
4.2493,0.19621,0
4.2769,0.22006,0
4.2839,0.22331,0
4.2686,0.20418,0
4.2651,0.19685,0
4.2952,0.22314,0
4.2739,0.19801,0
4.2848,0.20512,0
4.2831,0.19966,0
4.2952,0.20796,0
4.3009,0.20984,0
4.2984,0.20354,0
4.304,0.20531,0
4.3124,0.2099,0
4.3239,0.21761,0
4.3394,0.2293,0
4.8734,0.75953,1
4.3508,0.23312,0
4.3425,0.22102,0
4.3545,0.22924,0
4.3549,0.22578,0
4.3488,0.21596,0
4.3702,0.23357,0
4.3742,0.23369,0
4.3656,0.22132,0
4.3771,0.22896,0
4.3706,0.21872,0
4.38,0.22433,0
4.3732,0.21366,0
4.3949,0.23158,0
4.4053,0.23816,0
4.3916,0.2207,0
4.4026,0.22793,0
4.4114,0.2329,0
4.3995,0.21721,0
4.4186,0.23245,0
4.4039,0.21403,0
4.8686,0.67492,1
4.406,0.20846,0
4.4397,0.23838,0
4.4206,0.21543,0
4.4506,0.24163,0
4.4362,0.2235,0
4.457,0.24047,0
4.4334,0.21308,0
4.4595,0.23539,0
4.4427,0.21478,0
4.4592,0.22744,0
4.4491,0.2136,0
4.4565,0.21714,0
4.4631,0.21995,0
4.4787,0.23174,0
4.4963,0.24555,0
4.4811,0.22656,0
4.4912,0.23288,0
4.5088,0.24665,0
4.4928,0.22681,0
4.4999,0.23019,0
4.4965,0.22292,0
4.4973,0.21999,0
4.7829,0.50177,1
4.9432,0.65825,1
4.5401,0.25135,0
4.5158,0.22326,0
4.528,0.23158,0
4.5277,0.22754,0
5.0825,0.77853,1
4.562,0.25421,0
4.5492,0.23763,0
4.5524,0.23701,0
4.5682,0.24904,0
4.5684,0.24537,0
4.5568,0.23004,0
4.5858,0.25521,0
5.254,0.91959,1
4.5987,0.26055,0
4.5958,0.2538,0
4.5721,0.22633,0
4.617,0.26736,0
4.6158,0.26243,0
4.5963,0.23909,0
4.6247,0.26373,0
4.5953,0.23045,0
4.6192,0.25062,0
4.6206,0.24817,0
4.6126,0.23641,0
4.6294,0.2494,0
5.439,1.0551,1
4.6481,0.26048,0
5.2435,0.85205,1
4.6424,0.24721,0
4.6304,0.23142,0
4.6695,0.26666,0
4.6452,0.23853,0
4.6551,0.24463,0
4.6845,0.27031,0
4.6575,0.23951,0
4.6914,0.26957,0
4.6797,0.25407,0
4.7046,0.27516,0
4.7032,0.26998,0
4.6925,0.25542,0
4.7012,0.26037,0
4.6942,0.24951,0
4.7247,0.27626,0
4.7001,0.24787,0
4.7319,0.27583,0
4.7322,0.27233,0
4.7241,0.26043,0
5.1987,0.73122,1
4.7481,0.2768,0
4.7267,0.25159,0
4.7335,0.25463,0
4.7566,0.27396,0
5.1239,0.63747,1
4.758,0.26772,0
4.7449,0.25087,0
4.7582,0.26034,0
4.7603,0.25858,0
5.17,0.66455,1
4.7634,0.25415,0
4.7607,0.24756,0
4.7861,0.2692,0
4.7923,0.27159,0
5.3562,0.83165,1
4.803,0.27467,0
4.7946,0.26248,0
4.8239,0.28798,0
4.8216,0.28189,0
4.8285,0.28504,0
4.8067,0.25934,0
4.83,0.27886,0
4.8163,0.26135,0
4.8469,0.28814,0
4.8325,0.26997,0
4.8543,0.28793,0
4.8417,0.27161,0
4.8452,0.27128,0
5.4172,0.83945,1
4.8707,0.28917,0
4.8549,0.26953,0
4.8668,0.27766,0
5.3051,0.71216,1
4.862,0.26528,0
4.8657,0.26517,0
4.8598,0.25543,0
4.8848,0.27661,0
4.8978,0.28582,0
4.8891,0.27338,0
4.8855,0.26594,0
4.8832,0.25984,0
4.8959,0.26879,0
4.906,0.27501,0
4.9059,0.27114,0
4.9406,0.30201,0
4.9412,0.29886,0
4.9513,0.30518,0
4.942,0.29199,0
4.929,0.27518,0
4.9241,0.26657,0
4.9331,0.27175,0
4.9397,0.27447,0
4.9389,0.26988,0
5.6832,1.0104,1
4.982,0.3054,0
4.9554,0.27504,0
5.2811,0.59688,1
4.9967,0.30867,0
4.9935,0.30173,0
4.9688,0.27319,0
5.0029,0.30352,0
4.975,0.27183,0
5.825,1.118,1
5.0281,0.31734,0
5.0037,0.28911,0
5.0315,0.31305,0
5.0375,0.31525,0
5.0371,0.31111,0
5.0118,0.28195,0
